Angle,Energy,Re_sigma_xx,Im_sigma_xx
10,1300,0.0909839205968265,-20.572359063354416
10,1310,0.05854982182424531,-10.861771378585162
10,1320,0.06754837910418136,-13.933766534343144
10,1330,0.08464450328625611,-16.723355456756433
10,1340,0.06281161871026272,-23.234074077798834
10,1350,0.12296053513034717,-15.130518368872572
10,1360,0.10756118519639149,-17.445378828352144
10,1370,0.10913779926822481,-9.195168855179674
10,1380,0.10264868746496451,-22.940036740871516
10,1390,0.11794568193313204,-17.474258174282742
10,1400,0.1060514090332015,-17.573399345531797
10,1410,0.11764954042536649,-14.82867482611255
10,1420,0.05142276284815217,-24.550086002706625
10,1430,0.12583252705053066,-16.199650326600775
10,1440,0.13916427120442254,-24.946871148491326
10,1450,0.07216673358520075,-25.287078827430495
10,1460,0.12420704321032175,-21.634193854888164
10,1470,0.1233478184273335,-24.704327312172552
10,1480,0.09035551643151514,-22.670442682037002
10,1490,0.08978003654670336,-19.96800340744579
10,1500,0.11020042400933211,-27.890914918462926
10,1510,0.044002093501580075,-19.473801261730856
10,1520,0.1477629170542863,-10.25825173804548
10,1530,0.09371766363851075,-23.483670670199704
10,1540,0.09326579746802931,-22.758361546241147
10,1550,0.08707283200610724,-27.57872914090568
10,1560,0.09135709316269862,-17.09155421055515
10,1570,0.1038303387530609,-11.360762089913598
10,1580,0.0937414942614934,-26.757447714291633
10,1590,0.11860058199225418,-23.229805365718196
10,1600,0.05632550324151768,-14.991405470795087
10,1610,0.0961738698804486,-26.46885568553137
10,1620,0.09405516692722604,-13.623254566683544
10,1630,0.09902693683522748,-28.724671216706877
10,1640,0.10215319375415652,-30.593520811537633
10,1650,0.053012398907820404,-24.984438858138198
10,1660,0.11382570133463046,-5.678350956553766
10,1670,0.1040407319577133,-23.487792007987505
10,1680,0.08820197207128529,-18.361393258969333
10,1690,0.07311984978315927,-27.202765359963436
10,1700,0.16866840629489688,-24.562124170308984
10,1710,0.10251512835897247,-21.178658062282995
10,1720,0.16030226741896592,-24.129424714037185
10,1730,0.12497801296724118,-25.867754331863242
10,1740,0.1328623213270786,-27.47828678551856
10,1750,0.11166363284435508,-24.035007446413992
10,1760,0.12706656006632383,-24.237103271510225
10,1770,0.07741624824710036,-33.25227991819614
10,1780,0.09163757102982718,-18.344395160222128
10,1790,0.13151182594164695,-21.330476220641184
10,1800,0.13070164239563253,-30.018822733299128
10,1810,0.16000136363062642,-30.871785381946435
10,1820,0.1414899183089747,-26.412866431396246
10,1830,0.13647129339099945,-33.97907487993841
10,1840,0.1470420385932188,-17.300179067633444
10,1850,0.15447874000047768,-23.46094814662916
10,1860,0.20077367544872665,-29.041951900878733
10,1870,0.14560831103604316,-40.55260882952079
10,1880,0.1355908127800315,-37.28621476708876
10,1890,0.17968342890373304,-43.27749944978785
10,1900,0.14002534525258228,-26.538513924771326
10,1910,0.10592010469821868,-42.79233844614096
10,1920,0.09373028143395057,-43.13363742233857
10,1930,0.12803009170491728,-31.19885445268203
10,1940,0.16181106294842934,-31.78911213305149
10,1950,0.20154863631541992,-27.01448271216071
10,1960,0.18098961096938374,-26.79749302078281
10,1970,0.13279234818224958,-45.61838524783913
10,1980,0.07203061548761827,-35.517631648475714
10,1990,0.18333722983912212,-31.22798714074169
11,1300,0.06269502496343642,-12.329282009563554
11,1310,0.08324296913298594,-14.82036079993582
11,1320,0.02937741090478558,-14.230206537158939
11,1330,0.09081638398688409,-16.262413331007476
11,1340,0.07617122865954751,-10.458368175853382
11,1350,0.0685618425760862,-17.063073153984135
11,1360,0.056888779853358155,-18.055326534394858
11,1370,0.052908550366216105,-13.75446696072514
11,1380,0.0928651911611538,-6.625468983614438
11,1390,0.06229218804158959,-15.842980752637832
11,1400,0.05098714407407549,-6.5071680407942
11,1410,0.06460596732407997,-8.060403764661995
11,1420,0.08092625734882061,-18.22982696069168
11,1430,0.08479102133409364,-17.210885629237175
11,1440,0.08353064068112236,-17.410053653299393
11,1450,0.08062325840592695,-10.769525445113073
11,1460,0.06510269081313164,-10.566799804833206
11,1470,0.061144576743554745,-19.656546413812663
11,1480,0.040257683674223055,-16.557814411833174
11,1490,0.10059937156161011,-17.66293593997341
11,1500,0.05177096842144204,-19.33488499345257
11,1510,0.07065182153728147,-16.26826153284698
11,1520,0.06301022327257817,-24.708605586116622
11,1530,0.09683915248137495,-14.35045363012982
11,1540,0.09308866181127869,-8.153420805254287
11,1550,0.08032344220467387,-21.805172928260518
11,1560,0.07676526421565734,-8.344120633636853
11,1570,0.0834178237840733,-20.9523549529249
11,1580,0.056678374294413345,-14.564635723425601
11,1590,0.05278869792394187,-9.33093399859878
11,1600,0.04867926360521305,-5.111400680720999
11,1610,0.06588759528381485,-18.32931953019063
11,1620,0.07855518306294078,-17.3660940467762
11,1630,0.07873694006991216,-14.770749568753661
11,1640,0.07695452300036425,-22.852311627711025
11,1650,0.08321601222833996,-18.08305975208939
11,1660,0.08143322164120002,-17.59194995008037
11,1670,0.02962308012253804,-15.516767683293873
11,1680,0.08318788258938259,-10.913816007336296
11,1690,0.05841425064617992,-18.993049562198554
11,1700,0.0927424093963513,-16.717861594365043
11,1710,0.062288393625446484,-23.821216621105133
11,1720,0.09125922732430534,-17.30845448530291
11,1730,0.09720735621465089,-15.062036415910972
11,1740,0.0725756796521725,-13.502689251074074
11,1750,0.061845415790241935,-18.091697149746107
11,1760,0.06972269803520496,-13.488450143781233
11,1770,0.07892364448046657,-11.351430789511843
11,1780,0.047019906293821606,-19.67640585806235
11,1790,0.06433305931197666,-12.566454557991117
11,1800,0.0938252125554739,-17.25494845524633
11,1810,0.06525957476037411,-23.994375217687985
11,1820,0.10629329822419664,-21.267819300752237
11,1830,0.07317826158420265,-23.43033525818256
11,1840,0.05219938886062882,-30.59441139029064
11,1850,0.07699289345936912,-20.86704932815803
11,1860,0.0688720402696455,-20.730209969051597
11,1870,0.10805183670933939,-23.178743412401474
11,1880,0.10026873780075336,-17.642934764289826
11,1890,0.11622034407665173,-25.305063474777246
11,1900,0.07193903143667207,-17.9938243115189
11,1910,0.08563358948014302,-19.562148197279193
11,1920,0.06396051131204848,-20.506194256801255
11,1930,0.09878571812877511,-21.325718251582003
11,1940,0.09623904972338085,-21.626864910706637
11,1950,0.10742228311985341,-21.33396339696023
11,1960,0.1086855051284293,-20.756193389100556
11,1970,0.12015659842270197,-19.633763426002183
11,1980,0.07350236970977882,-18.14078868668293
11,1990,0.10554284493967887,-24.128424599965836
12,1300,0.057081518117667596,-13.699062988157904
12,1310,0.04515527370812688,-6.529510340788676
12,1320,0.03592175818756103,-10.896681965062296
12,1330,0.05385950544954454,-8.718432921743851
12,1340,0.04998191978702967,-13.850323152601023
12,1350,0.04759120429956291,-10.880331606809177
12,1360,0.07503211792505038,-7.51653593785748
12,1370,0.05415142240144778,-12.477313601120114
12,1380,0.06236539967239846,-12.121080787677155
12,1390,0.047099086392219616,-15.957056155369255
12,1400,0.04654202305477573,-7.103257504042057
12,1410,0.04250288832518595,-14.232237872026115
12,1420,0.05764194678110878,-15.220127441538013
12,1430,0.024350672399695076,-7.225929774751721
12,1440,0.023677009985599348,-8.985218271919885
12,1450,0.05401108282532152,-6.9078849421767465
12,1460,0.03670524481667397,-5.539496347081638
12,1470,0.04079004411979695,-6.815060096349913
12,1480,0.06846745895793753,-9.370978737548361
12,1490,0.057130440774434715,-13.500446417584866
12,1500,0.05035591203147059,-8.626763522424605
12,1510,0.04318107590157151,-18.89978928855097
12,1520,0.043294076082396556,-7.853170164352631
12,1530,0.06648346145967973,-5.778819173121173
12,1540,0.06479633663726607,-14.620789244951897
12,1550,0.045955667334935744,-8.512640630673616
12,1560,0.047843207838642855,-11.159691821181621
12,1570,0.030976139568513483,-8.759535900378141
12,1580,0.05068576952613336,-13.71504792918384
12,1590,0.04121001418076863,-4.232049403073538
12,1600,0.09528691851484417,-9.689914421668828
12,1610,0.05028373883266056,-14.819616739462578
12,1620,0.03593658086482127,-12.062632845546583
12,1630,0.030040491647204084,-14.168418142884487
12,1640,0.05328981637810413,-10.168490733789511
12,1650,0.08150081770143956,-12.07079953609116
12,1660,0.07314420918137936,-13.702455359075973
12,1670,0.027616013064966007,-14.588038321142443
12,1680,0.055372908185230496,-17.582806708944545
12,1690,0.0718922815758804,-7.020080391411577
12,1700,0.030389737327319467,-9.537438188363323
12,1710,0.05906201445840813,-19.616954023638588
12,1720,0.059411726911033046,-18.78508804472119
12,1730,0.05398200510343953,-18.7336686588176
12,1740,0.014222414775136163,-6.140689201865893
12,1750,0.04657786646633402,-18.882914625206787
12,1760,0.06980907600068396,-12.017020036310956
12,1770,0.06284270364782489,-11.996683802033187
12,1780,0.06184676639778709,-11.885124636967841
